PID	SEX	HT	WT

1	F	164.7	61.3

2	M	168.9	65.7

3	F	160.3	57.6

4	F	162.9	62.9

5	M	172.3	58.3

6	F	155.2	55.2

7	M	169.2	70.2

8	M	166.6	60.6

9	F	155.1	60.3

10	F	162.1	58.9

11	M	181.3	71.0

12	M	168.3	62.5

13	F	160.1	53.3

14	F	157.4	53.1

15	F	157.5	61.7

16	F	167.9	68.1

17	F	160.4	54.5

18	M	174.3	73.6

19	M	169.2	66.4

20	M	172.5	67.0

21	M	166.3	62.2

22	M	166.6	63.1

23	M	161.0	56.6

24	F	165.0	63.7

25	F	155.8	59.1

26	F	168.5	61.4

27	M	163.5	60.2

28	F	157.1	48.2

29	M	170.3	59.9

30	F	163.0	63.0

31	F	157.0	52.3

32	M	173.0	70.3

33	M	169.4	63.4

34	F	166.2	55.5

35	F	161.2	59.9

36	M	164.8	62.3

37	M	174.1	71.0

38	M	162.3	57.3

39	M	167.0	69.5

40	F	154.9	53.7

41	M	177.8	70.7

42	M	178.8	74.5

43	F	150.6	50.8

44	F	164.8	63.0

45	F	161.5	57.2

46	F	163.4	59.3

47	F	162.1	60.8

48	F	153.3	55.2

49	M	181.3	69.0

50	F	161.9	58.4

51	F	160.6	57.7

52	F	152.9	58.4

53	F	163.2	63.2

54	F	160.6	61.0

55	M	169.7	68.4

56	F	153.1	51.4

57	M	169.6	69.5

58	F	162.9	66.0

59	F	166.1	62.3

60	M	166.7	60.0

61	M	170.4	62.2

62	M	170.3	65.2

63	M	164.9	61.0

64	M	166.9	65.7

65	F	158.2	56.0

66	M	177.2	69.3

67	M	168.1	61.5

68	M	173.9	66.4

69	F	158.4	51.3

70	M	170.6	69.1

71	M	179.3	70.0

72	F	165.6	62.5

73	M	168.8	65.9

74	M	168.2	67.5

75	F	158.3	54.1

76	M	173.0	70.8

77	F	159.6	58.9

78	M	174.2	69.9

79	F	166.4	66.7

80	F	158.9	52.1

81	F	161.5	56.5

82	F	171.3	64.9

83	F	155.8	51.5

84	F	154.8	53.2

85	M	170.1	64.6

86	M	164.1	60.2

87	M	167.0	61.7

88	F	159.0	58.0

89	F	156.6	58.7

90	F	159.2	61.1

91	M	171.2	66.0

92	M	169.6	67.2

93	M	165.7	62.3

94	M	178.8	76.6

95	F	152.4	45.6

96	M	174.4	72.3

97	M	156.4	55.5

98	M	173.1	69.1

99	F	163.5	60.4

100	M	166.1	63.8

