PID	extra	group	ID
1	0	1	9
2	-1.6	1	2
3	0.8	1	8
4	-1.2	1	4
5	3.7	1	7
6	0.7	1	1
7	3.7	1	7
8	-0.1	1	5
9	-0.2	1	3
10	0.7	1	1
11	-1.2	1	4
12	0.8	1	8
13	-0.2	1	3
14	3.4	1	6
15	-0.2	1	3
16	-1.2	1	4
17	0	1	9
18	-1.6	1	2
19	-1.6	1	2
20	2	1	10
21	2	1	10
22	3.4	1	6
23	0.7	1	1
24	0	1	9
25	3.7	1	7
26	0.8	1	8
27	-0.1	1	5
28	3.4	1	6
29	2	1	10
30	-0.1	1	5
31	3.4	2	10
32	3.4	2	10
33	0.1	2	4
34	4.4	2	6
35	3.4	2	10
36	0.8	2	2
37	1.9	2	1
38	4.6	2	9
39	-0.1	2	5
40	-0.1	2	5
41	1.6	2	8
42	1.6	2	8
43	-0.1	2	5
44	1.6	2	8
45	1.9	2	1
46	4.6	2	9
47	0.1	2	4
48	4.6	2	9
49	1.1	2	3
50	0.8	2	2
51	4.4	2	6
52	1.1	2	3
53	5.5	2	7
54	5.5	2	7
55	0.1	2	4
56	1.9	2	1
57	4.4	2	6
58	5.5	2	7
59	0.8	2	2
60	1.1	2	3
