cell	normal	cancer
1	3.13	0.12
2	0.43	0.55
3	1.54	0.16
4	2.11	0.21
5	0.11	0.34
6	0.32	1.23
7	2.97	0.89
8	0.34	0.14
9	2.45	0.21
10	3.12	0.33
11	2.13	0.97
12	0.19	1.34
13	0.32	0.13
14	0.15	0.09
15	0.55	0.04
16	2.34	1.39
17	3.11	1.11
18	2.98	1.09
19	2.54	0.33
20	1.33	0.23
21	3.21	0.16
22	0.34	0.34
23	0.45	0.23
24	2.45	0.67
25	0.27	1.15
26	2.33	0.38
27	3.19	0.19
28	2.53	0.32
29	0.45	0.27
30	0.78	0.18
31	3.23	0.07
32	0.53	0.51
33	1.64	0.11
34	2.21	0.16
35	0.21	0.29
36	0.42	1.18
37	3.07	0.84
38	0.44	0.09
39	2.55	0.16
40	3.22	0.28
41	2.23	0.92
42	0.29	1.29
43	0.42	0.08
44	0.25	0.04
45	0.65	0.01
46	2.44	1.34
47	3.21	1.06
48	3.08	1.04
49	2.64	0.28
50	1.43	0.18
51	3.31	0.11
52	0.44	0.29
53	0.55	0.18
54	2.55	0.62
55	0.37	1.11
56	2.43	0.33
57	3.29	0.14
58	2.63	0.27
59	0.55	0.22
60	0.88	0.13
