t	x	v
0.000000	1.000000	-0.010000
0.010000	0.999900	-0.020000
0.020000	0.999700	-0.029999
0.030000	0.999400	-0.039996
0.040000	0.999000	-0.049990
0.050000	0.998500	-0.059980
0.060000	0.997900	-0.069965
0.070000	0.997201	-0.079944
0.080000	0.996401	-0.089916
0.090000	0.995502	-0.099880
0.100000	0.994503	-0.109835
0.110000	0.993405	-0.119780
0.120000	0.992207	-0.129714
0.130000	0.990910	-0.139636
0.140000	0.989514	-0.149545
0.150000	0.988018	-0.159440
0.160000	0.986424	-0.169321
0.170000	0.984731	-0.179185
0.180000	0.982939	-0.189032
0.190000	0.981048	-0.198862
0.200000	0.979060	-0.208672
0.210000	0.976973	-0.218463
0.220000	0.974788	-0.228232
0.230000	0.972506	-0.237980
0.240000	0.970126	-0.247705
0.250000	0.967649	-0.257407
0.260000	0.965075	-0.267083
0.270000	0.962404	-0.276734
0.280000	0.959637	-0.286358
0.290000	0.956773	-0.295954
0.300000	0.953814	-0.305522
0.310000	0.950759	-0.315060
0.320000	0.947608	-0.324568
0.330000	0.944362	-0.334044
0.340000	0.941022	-0.343487
0.350000	0.937587	-0.352898
0.360000	0.934058	-0.362273
0.370000	0.930435	-0.371614
0.380000	0.926719	-0.380918
0.390000	0.922910	-0.390186
0.400000	0.919008	-0.399415
0.410000	0.915014	-0.408605
0.420000	0.910928	-0.417755
0.430000	0.906750	-0.426864
0.440000	0.902482	-0.435932
0.450000	0.898123	-0.444957
0.460000	0.893673	-0.453938
0.470000	0.889134	-0.462874
0.480000	0.884505	-0.471766
0.490000	0.879787	-0.480611
0.500000	0.874981	-0.489409
0.510000	0.870087	-0.498159
0.520000	0.865105	-0.506859
0.530000	0.860037	-0.515510
0.540000	0.854882	-0.524111
0.550000	0.849641	-0.532660
0.560000	0.844314	-0.541156
0.570000	0.838902	-0.549599
0.580000	0.833406	-0.557988
0.590000	0.827827	-0.566322
0.600000	0.822163	-0.574601
0.610000	0.816417	-0.582822
0.620000	0.810589	-0.590986
0.630000	0.804679	-0.599092
0.640000	0.798688	-0.607139
0.650000	0.792617	-0.615126
0.660000	0.786466	-0.623052
0.670000	0.780235	-0.630917
0.680000	0.773926	-0.638719
0.690000	0.767539	-0.646458
0.700000	0.761074	-0.654134
0.710000	0.754533	-0.661745
0.720000	0.747915	-0.669290
0.730000	0.741223	-0.676769
0.740000	0.734455	-0.684181
0.750000	0.727613	-0.691526
0.760000	0.720698	-0.698802
0.770000	0.713710	-0.706009
0.780000	0.706650	-0.713146
0.790000	0.699518	-0.720212
0.800000	0.692316	-0.727208
0.810000	0.685044	-0.734131
0.820000	0.677703	-0.740981
0.830000	0.670293	-0.747758
0.840000	0.662815	-0.754461
0.850000	0.655271	-0.761089
0.860000	0.647660	-0.767642
0.870000	0.639983	-0.774119
0.880000	0.632242	-0.780518
0.890000	0.624437	-0.786841
0.900000	0.616569	-0.793085
0.910000	0.608638	-0.799251
0.920000	0.600645	-0.805337
0.930000	0.592592	-0.811344
0.940000	0.584478	-0.817270
0.950000	0.576306	-0.823115
0.960000	0.568075	-0.828878
0.970000	0.559786	-0.834558
0.980000	0.551440	-0.840156
0.990000	0.543039	-0.845671
1.000000	0.534582	-0.851101
1.010000	0.526071	-0.856447
1.020000	0.517506	-0.861707
1.030000	0.508889	-0.866883
