t	i
0.000000	1.000000
0.050000	1.800000
0.100000	2.440000
0.150000	2.952000
0.200000	3.361600
0.250000	3.689280
0.300000	3.951424
0.350000	4.161139
0.400000	4.328911
0.450000	4.463129
0.500000	4.570503
0.550000	4.656403
0.600000	4.725122
0.650000	4.780098
0.700000	4.824078
0.750000	4.859263
0.800000	4.887410
0.850000	4.909928
0.900000	4.927942
0.950000	4.942354
1.000000	4.953883
1.050000	4.963107
1.100000	4.970485
1.150000	4.976388
1.200000	4.981111
1.250000	4.984888
1.300000	4.987911
1.350000	4.990329
1.400000	4.992263
1.450000	4.993810
1.500000	4.995048
1.550000	4.996039
1.600000	4.996831
1.650000	4.997465
1.700000	4.997972
1.750000	4.998377
1.800000	4.998702
1.850000	4.998962
1.900000	4.999169
1.950000	4.999335
2.000000	4.999468
2.050000	4.999575
2.100000	4.999660
2.150000	4.999728
2.200000	4.999782
2.250000	4.999826
2.300000	4.999861
2.350000	4.999888
2.400000	4.999911
2.450000	4.999929
2.500000	4.999943
2.550000	4.999954
2.600000	4.999963
2.650000	4.999971
2.700000	4.999977
2.750000	4.999981
2.800000	4.999985
2.850000	4.999988
2.900000	4.999990
2.950000	4.999992
3.000000	4.999994
3.050000	4.999995
3.100000	4.999996
3.150000	4.999997
3.200000	4.999997
3.250000	4.999998
3.300000	4.999998
3.350000	4.999999
3.400000	4.999999
3.450000	4.999999
3.500000	4.999999
3.550000	4.999999
3.600000	5.000000
3.650000	5.000000
3.700000	5.000000
3.750000	5.000000
3.800000	5.000000
3.850000	5.000000
3.900000	5.000000
3.950000	5.000000
4.000000	5.000000
4.050000	5.000000
4.100000	5.000000
4.150000	5.000000
4.200000	5.000000
4.250000	5.000000
4.300000	5.000000
4.350000	5.000000
4.400000	5.000000
4.450000	5.000000
4.500000	5.000000
4.550000	5.000000
4.600000	5.000000
4.650000	5.000000
4.700000	5.000000
4.750000	5.000000
4.800000	5.000000
4.850000	5.000000
4.900000	5.000000
4.950000	5.000000
5.000000	5.000000
5.050000	5.000000
5.100000	5.000000
5.150000	5.000000
5.200000	5.000000
5.250000	5.000000
5.300000	5.000000
5.350000	5.000000
5.400000	5.000000
5.450000	5.000000
5.500000	5.000000
5.550000	5.000000
5.600000	5.000000
5.650000	5.000000
5.700000	5.000000
5.750000	5.000000
5.800000	5.000000
5.850000	5.000000
5.900000	5.000000
5.950000	5.000000
6.000000	5.000000
6.050000	5.000000
6.100000	5.000000
6.150000	5.000000
6.200000	5.000000
6.250000	5.000000
6.300000	5.000000
6.350000	5.000000
6.400000	5.000000
6.450000	5.000000
6.500000	5.000000
6.550000	5.000000
6.600000	5.000000
6.650000	5.000000
6.700000	5.000000
6.750000	5.000000
6.800000	5.000000
6.850000	5.000000
6.900000	5.000000
6.950000	5.000000
7.000000	5.000000
7.050000	5.000000
7.100000	5.000000
7.150000	5.000000
7.200000	5.000000
7.250000	5.000000
7.300000	5.000000
7.350000	5.000000
7.400000	5.000000
7.450000	5.000000
7.500000	5.000000
7.550000	5.000000
7.600000	5.000000
7.650000	5.000000
7.700000	5.000000
7.750000	5.000000
7.800000	5.000000
7.850000	5.000000
7.900000	5.000000
7.950000	5.000000
8.000000	5.000000
8.050000	5.000000
8.100000	5.000000
8.150000	5.000000
8.200000	5.000000
8.250000	5.000000
8.300000	5.000000
8.350000	5.000000
8.400000	5.000000
8.450000	5.000000
8.500000	5.000000
8.550000	5.000000
8.600000	5.000000
8.650000	5.000000
8.700000	5.000000
8.750000	5.000000
8.800000	5.000000
8.850000	5.000000
8.900000	5.000000
8.950000	5.000000
9.000000	5.000000
9.050000	5.000000
9.100000	5.000000
9.150000	5.000000
9.200000	5.000000
9.250000	5.000000
9.300000	5.000000
9.350000	5.000000
9.400000	5.000000
9.450000	5.000000
9.500000	5.000000
9.550000	5.000000
9.600000	5.000000
9.650000	5.000000
9.700000	5.000000
9.750000	5.000000
9.800000	5.000000
9.850000	5.000000
9.900000	5.000000
9.950000	5.000000
