t	i
0.000000	0.197360
0.010000	0.385596
0.020000	0.566509
0.030000	0.740326
0.040000	0.907329
0.050000	1.067784
0.060000	1.221949
0.070000	1.370070
0.080000	1.512383
0.090000	1.649117
0.100000	1.780490
0.110000	1.906713
0.120000	2.027987
0.130000	2.144506
0.140000	2.256457
0.150000	2.364019
0.160000	2.467365
0.170000	2.566658
0.180000	2.662058
0.190000	2.753719
0.200000	2.841785
0.210000	2.926399
0.220000	3.007696
0.230000	3.085805
0.240000	3.160852
0.250000	3.232957
0.260000	3.302235
0.270000	3.368797
0.280000	3.432749
0.290000	3.494194
0.300000	3.553230
0.310000	3.609951
0.320000	3.664449
0.330000	3.716810
0.340000	3.767118
0.350000	3.815454
0.360000	3.861895
0.370000	3.906515
0.380000	3.949385
0.390000	3.990575
0.400000	4.030150
0.410000	4.068174
0.420000	4.104707
0.430000	4.139807
0.440000	4.173531
0.450000	4.205934
0.460000	4.237065
0.470000	4.266977
0.480000	4.295715
0.490000	4.323327
0.500000	4.349856
0.510000	4.375346
0.520000	4.399836
0.530000	4.423365
0.540000	4.445973
0.550000	4.467694
0.560000	4.488563
0.570000	4.508614
0.580000	4.527879
0.590000	4.546389
0.600000	4.564173
0.610000	4.581260
0.620000	4.597677
0.630000	4.613450
0.640000	4.628605
0.650000	4.643166
0.660000	4.657156
0.670000	4.670597
0.680000	4.683511
0.690000	4.695920
0.700000	4.707841
0.710000	4.719295
0.720000	4.730301
0.730000	4.740874
0.740000	4.751033
0.750000	4.760794
0.760000	4.770173
0.770000	4.779183
0.780000	4.787840
0.790000	4.796158
0.800000	4.804150
0.810000	4.811828
0.820000	4.819206
0.830000	4.826294
0.840000	4.833104
0.850000	4.839647
0.860000	4.845934
0.870000	4.851974
0.880000	4.857778
0.890000	4.863354
0.900000	4.868711
0.910000	4.873858
0.920000	4.878804
0.930000	4.883555
0.940000	4.888120
0.950000	4.892507
0.960000	4.896721
0.970000	4.900770
0.980000	4.904661
0.990000	4.908398
1.000000	4.911990
1.010000	4.915440
1.020000	4.918755
1.030000	4.921941
1.040000	4.925001
1.050000	4.927941
1.060000	4.930766
1.070000	4.933481
1.080000	4.936089
1.090000	4.938594
1.100000	4.941002
1.110000	4.943315
1.120000	4.945537
1.130000	4.947672
1.140000	4.949724
1.150000	4.951695
1.160000	4.953589
1.170000	4.955409
1.180000	4.957157
1.190000	4.958836
1.200000	4.960450
1.210000	4.962001
1.220000	4.963491
1.230000	4.964922
1.240000	4.966297
1.250000	4.967619
1.260000	4.968888
1.270000	4.970108
1.280000	4.971280
1.290000	4.972406
1.300000	4.973488
1.310000	4.974527
1.320000	4.975526
1.330000	4.976485
1.340000	4.977407
1.350000	4.978293
1.360000	4.979144
1.370000	4.979962
1.380000	4.980747
1.390000	4.981502
1.400000	4.982227
1.410000	4.982924
1.420000	4.983594
1.430000	4.984237
1.440000	4.984855
1.450000	4.985449
1.460000	4.986019
1.470000	4.986567
1.480000	4.987094
1.490000	4.987600
1.500000	4.988086
1.510000	4.988553
1.520000	4.989002
1.530000	4.989433
1.540000	4.989847
1.550000	4.990245
1.560000	4.990628
1.570000	4.990995
1.580000	4.991348
1.590000	4.991687
1.600000	4.992013
1.610000	4.992327
1.620000	4.992627
1.630000	4.992916
1.640000	4.993194
1.650000	4.993461
1.660000	4.993717
1.670000	4.993964
1.680000	4.994200
1.690000	4.994428
1.700000	4.994646
1.710000	4.994856
1.720000	4.995058
1.730000	4.995251
1.740000	4.995438
1.750000	4.995617
1.760000	4.995788
1.770000	4.995953
1.780000	4.996112
1.790000	4.996265
1.800000	4.996411
1.810000	4.996552
1.820000	4.996687
1.830000	4.996817
1.840000	4.996942
1.850000	4.997062
1.860000	4.997177
1.870000	4.997287
1.880000	4.997394
1.890000	4.997496
1.900000	4.997594
1.910000	4.997688
1.920000	4.997779
1.930000	4.997866
1.940000	4.997950
1.950000	4.998030
1.960000	4.998107
1.970000	4.998182
1.980000	4.998253
1.990000	4.998321
2.000000	4.998387
2.010000	4.998450
2.020000	4.998511
2.030000	4.998570
2.040000	4.998626
2.050000	4.998680
2.060000	4.998731
2.070000	4.998781
2.080000	4.998829
2.090000	4.998875
2.100000	4.998919
2.110000	4.998961
2.120000	4.999002
2.130000	4.999041
2.140000	4.999079
2.150000	4.999115
2.160000	4.999150
2.170000	4.999183
2.180000	4.999215
2.190000	4.999246
2.200000	4.999275
2.210000	4.999304
2.220000	4.999331
2.230000	4.999357
2.240000	4.999382
2.250000	4.999407
2.260000	4.999430
2.270000	4.999452
2.280000	4.999474
2.290000	4.999494
2.300000	4.999514
2.310000	4.999533
2.320000	4.999552
2.330000	4.999569
2.340000	4.999586
2.350000	4.999602
2.360000	4.999618
2.370000	4.999633
2.380000	4.999647
2.390000	4.999661
2.400000	4.999674
2.410000	4.999687
2.420000	4.999699
2.430000	4.999711
2.440000	4.999722
2.450000	4.999733
2.460000	4.999744
2.470000	4.999754
2.480000	4.999763
2.490000	4.999773
2.500000	4.999782
2.510000	4.999790
2.520000	4.999798
2.530000	4.999806
2.540000	4.999814
2.550000	4.999821
2.560000	4.999828
2.570000	4.999835
2.580000	4.999841
2.590000	4.999848
2.600000	4.999854
2.610000	4.999859
2.620000	4.999865
2.630000	4.999870
2.640000	4.999875
2.650000	4.999880
2.660000	4.999885
2.670000	4.999889
2.680000	4.999894
2.690000	4.999898
2.700000	4.999902
2.710000	4.999906
2.720000	4.999909
2.730000	4.999913
2.740000	4.999916
2.750000	4.999920
2.760000	4.999923
2.770000	4.999926
2.780000	4.999929
2.790000	4.999932
2.800000	4.999934
2.810000	4.999937
2.820000	4.999939
2.830000	4.999942
2.840000	4.999944
2.850000	4.999946
2.860000	4.999948
2.870000	4.999950
2.880000	4.999952
2.890000	4.999954
2.900000	4.999956
2.910000	4.999958
2.920000	4.999959
2.930000	4.999961
2.940000	4.999962
2.950000	4.999964
2.960000	4.999965
2.970000	4.999967
2.980000	4.999968
2.990000	4.999969
3.000000	4.999970
3.010000	4.999972
3.020000	4.999973
3.030000	4.999974
3.040000	4.999975
3.050000	4.999976
3.060000	4.999977
3.070000	4.999978
3.080000	4.999979
3.090000	4.999979
3.100000	4.999980
3.110000	4.999981
3.120000	4.999982
3.130000	4.999982
3.140000	4.999983
3.150000	4.999984
3.160000	4.999984
3.170000	4.999985
3.180000	4.999986
3.190000	4.999986
3.200000	4.999987
3.210000	4.999987
3.220000	4.999988
3.230000	4.999988
3.240000	4.999989
